Unnamed: 0,Against,Team,Bowler,Overs,Maidens,Runs,Wickets,Economy,match_id,is_plate,bowling_position
11,ODSA,AP,Tripurana Vijay,5.0,0,36,0,0,APvsODSA,False,6
0,ASM,BRD,Rasikh Salam,9.0,0,47,1,1,ASMvsBRD,False,1
1,ASM,BRD,Raj Limbani,10.0,0,66,3,1,ASMvsBRD,False,2
2,ASM,BRD,A Sheth,8.4,0,56,4,1,ASMvsBRD,False,3
3,ASM,BRD,Krunal Pandya (c),10.0,0,51,0,1,ASMvsBRD,False,4
4,ASM,BRD,Aryan Chavda,10.0,1,47,2,0,ASMvsBRD,False,5
5,ASM,BRD,Priyanshu Moliya,1.0,0,3,0,0,ASMvsBRD,False,6
6,BRD,ASM,Mukhtar Hussain,9.0,0,57,0,0,ASMvsBRD,False,1
7,BRD,ASM,Ayushman Malakar,5.0,0,27,1,1,ASMvsBRD,False,2
8,BRD,ASM,Akash Sengupta,5.0,0,37,0,0,ASMvsBRD,False,3
9,BRD,ASM,Avinov Choudhury,9.5,0,63,0,0,ASMvsBRD,False,4
10,BRD,ASM,Bhargab Lahkar,8.0,0,43,1,0,ASMvsBRD,False,5
11,BRD,ASM,Swarupam Purkayastha,9.0,0,44,3,0,ASMvsBRD,False,6
12,BRD,ASM,Sibsankar Roy,2.0,0,11,0,0,ASMvsBRD,False,7
0,ASM,CDG,Jagjit Singh,10.0,0,61,0,0,ASMvsCDG,False,1
1,ASM,CDG,Rohit Dhanda,8.0,0,38,2,0,ASMvsCDG,False,2
2,ASM,CDG,Nishunk Birla,10.0,0,37,3,0,ASMvsCDG,False,3
3,ASM,CDG,Hartejassvi Kapoor,9.0,0,59,0,0,ASMvsCDG,False,4
4,ASM,CDG,Taranpreet Singh,3.0,0,25,0,0,ASMvsCDG,False,5
5,ASM,CDG,Vishu Kashyap,10.0,0,58,1,0,ASMvsCDG,False,6
6,CDG,ASM,Mukhtar Hussain,10.0,1,43,0,0,ASMvsCDG,False,1
7,CDG,ASM,Akash Sengupta,10.0,0,65,1,0,ASMvsCDG,False,2
8,CDG,ASM,Abdul Ajij Kuraishi,4.0,0,42,0,0,ASMvsCDG,False,3
9,CDG,ASM,Rahul Singh,7.2,0,50,0,0,ASMvsCDG,False,4
10,CDG,ASM,Avinov Choudhury,5.0,0,41,0,0,ASMvsCDG,False,5
11,CDG,ASM,Swarupam Purkayastha,10.0,0,37,1,0,ASMvsCDG,False,6
12,CDG,ASM,Denish Das,1.0,0,3,1,0,ASMvsCDG,False,7
0,ASM,UP,Kunal Tyagi,9.0,0,76,1,12,ASMvsUP,False,1
1,ASM,UP,Karan Chaudhary,7.0,2,14,1,0,ASMvsUP,False,2
2,ASM,UP,Prashant Veer,9.0,0,53,1,1,ASMvsUP,False,3
3,ASM,UP,Zeeshan Ansari,10.0,0,60,3,2,ASMvsUP,False,4
4,ASM,UP,Vipraj Nigam,9.4,0,66,4,2,ASMvsUP,False,5
5,ASM,UP,Rinku Singh (c),4.0,0,31,0,0,ASMvsUP,False,6
6,UP,ASM,Mukhtar Hussain,7.0,1,44,0,0,ASMvsUP,False,1
7,UP,ASM,Akash Sengupta,6.0,0,45,1,2,ASMvsUP,False,2
8,UP,ASM,Rahul Singh,9.0,0,46,1,0,ASMvsUP,False,3
9,UP,ASM,Avinov Choudhury,6.0,0,52,0,3,ASMvsUP,False,4
10,UP,ASM,Abdul Ajij Kuraishi,8.0,0,63,0,3,ASMvsUP,False,5
11,UP,ASM,Denish Das,5.0,0,30,0,0,ASMvsUP,False,6
