Unnamed: 0,Team,Batter,Dismissal,Runs,Balls,4s,6s,SR,match_id,is_plate,dismissal_type,batting_position
8,HAR,Anuj Thakral,c Upendra Yadav b Adarsh Singh,0,1,0,0,0.0,HARvsRLYS,False,caught,9
9,HAR,Bhuwan Rohilla,not out,3,4,0,0,75.0,HARvsRLYS,False,not out,10
10,HAR,Amit Rana,not out,1,1,0,0,100.0,HARvsRLYS,False,not out,11
11,RLYS,Suraj Ahuja,c Anuj Thakral b Sumit Kumar,28,36,4,0,77.78,HARvsRLYS,False,caught,1
12,RLYS,Ansh Yadav,c Yashvardhan Dalal b Sumit Kumar,1,7,0,0,14.29,HARvsRLYS,False,caught,2
13,RLYS,Pratham Singh,c Ankit Kumar b Anuj Thakral,16,38,2,0,42.11,HARvsRLYS,False,caught,3
14,RLYS,Upendra Yadav (wk),c Ankit Kumar b Amit Rana,80,87,10,1,91.95,HARvsRLYS,False,caught,4
15,RLYS,Ravi Singh,not out,109,81,3,10,134.57,HARvsRLYS,False,not out,5
16,RLYS,Ashutosh Sharma,not out,16,13,3,0,123.08,HARvsRLYS,False,not out,6
0,HP,Innesh Mahajan (wk),run out (Vashudev Bareth),95,108,7,0,87.96,HPvsCG,False,run out,1
1,HP,Ankit Kalsi,b Dev Aditya Singh,7,9,1,0,77.78,HPvsCG,False,bowled,2
2,HP,Kushal Pal,lbw b Dev Aditya Singh,7,11,1,0,63.64,HPvsCG,False,lbw,3
3,HP,Pukhraj Mann,b Ravi Kiran,134,121,11,2,110.74,HPvsCG,False,bowled,4
4,HP,Mridul Surroch (c),c Mayank Verma b Sarwate,24,19,1,1,126.32,HPvsCG,False,caught,5
5,HP,Amanpreet Singh,c Ajay Mandal b Ravi Kiran,17,16,1,1,106.25,HPvsCG,False,caught,6
6,HP,Mayank Dagar,not out,23,12,2,1,191.67,HPvsCG,False,not out,7
7,HP,Nitin Sharma,b Ravi Kiran,1,2,0,0,50.0,HPvsCG,False,bowled,8
8,HP,Vaibhav Arora,run out (Vikalp Tiwari),2,3,0,0,66.67,HPvsCG,False,run out,9
9,CG,Aayush Pandey,c Rohit Kumar b Aryaman Singh Dhaliwal,78,87,7,2,89.66,HPvsCG,False,caught,1
10,CG,Anuj Tiwary,c Amanpreet Singh b Vaibhav Arora,67,74,4,3,90.54,HPvsCG,False,caught,2
11,CG,Ashutosh Singh,c Kushal Pal b Rohit Kumar,16,20,2,0,80.0,HPvsCG,False,caught,3
12,CG,Amandeep Khare (c),c Pukhraj Mann b Vaibhav Arora,72,52,7,2,138.46,HPvsCG,False,caught,4
13,CG,Vikalp Tiwari,lbw b Mridul Surroch,18,18,1,1,100.0,HPvsCG,False,lbw,5
14,CG,Ajay Jadav Mandal,run out (Kushal Pal),35,34,3,1,102.94,HPvsCG,False,run out,6
15,CG,Vashudev Bareth,not out,21,10,2,1,210.0,HPvsCG,False,not out,7
16,CG,Mayank Verma (wk),c Mridul Surroch b Rohit Kumar,1,4,0,0,25.0,HPvsCG,False,caught,8
17,CG,Dev Aditya Singh,not out,1,1,0,0,100.0,HPvsCG,False,not out,9
0,HP,Innesh Mahajan (wk),lbw b Ramakrishna Ghosh,2,7,0,0,28.57,HPvsMAH,False,lbw,1
1,HP,Ankit Kalsi,c Prithvi Shaw b Ramakrishna Ghosh,1,8,0,0,12.5,HPvsMAH,False,caught,2
2,HP,Ekant Sen,c Rajvardhan Hangargekar b Ramakrishna Ghosh,15,19,3,0,78.95,HPvsMAH,False,caught,3
3,HP,Pukhraj Mann,c (sub)Sachin Dhas b Ramakrishna Ghosh,110,111,9,3,99.1,HPvsMAH,False,caught,4
4,HP,Mridul Surroch (c),c Nikhil Naik b Pradeep Dadhe,0,2,0,0,0.0,HPvsMAH,False,caught,5
5,HP,Amanpreet Singh,c Rajvardhan Hangargekar b Satyajeet Bachhav,30,44,3,0,68.18,HPvsMAH,False,caught,6
6,HP,Akash Vasisht,c Nikhil Naik b Rajvardhan Hangargekar,16,28,1,0,57.14,HPvsMAH,False,caught,7
7,HP,Nitin Sharma,c Ruturaj Gaikwad b Ramakrishna Ghosh,21,40,2,0,52.5,HPvsMAH,False,caught,8
8,HP,Vaibhav Arora,c Ruturaj Gaikwad b Ramakrishna Ghosh,40,33,3,2,121.21,HPvsMAH,False,caught,9
9,HP,Rohit Kumar,c (sub)Sachin Dhas b Ramakrishna Ghosh,6,7,1,0,85.71,HPvsMAH,False,caught,10
10,HP,Aryaman Singh Dhaliwal,not out,1,2,0,0,50.0,HPvsMAH,False,not out,11
11,MAH,Arshin Kulkarni,c Pukhraj Mann b Vaibhav Arora,16,27,3,0,59.26,HPvsMAH,False,caught,1
12,MAH,Siddhesh Veer,lbw b Aryaman Singh Dhaliwal,16,30,2,0,53.33,HPvsMAH,False,lbw,2
13,MAH,Ankit Bawne,b Rohit Kumar,97,120,6,1,80.83,HPvsMAH,False,bowled,3
14,MAH,Ruturaj Gaikwad (c),c Innesh Mahajan b Mridul Surroch,28,32,3,0,87.5,HPvsMAH,False,caught,4
15,MAH,Ramakrishna Ghosh,c Innesh Mahajan b Mridul Surroch,2,5,0,0,40.0,HPvsMAH,False,caught,5
16,MAH,Nikhil Naik (wk),run out (Nitin Sharma),39,46,4,0,84.78,HPvsMAH,False,run out,6
17,MAH,Prithvi Shaw,c Ekant Sen b Aryaman Singh Dhaliwal,22,14,2,1,157.14,HPvsMAH,False,caught,7
18,MAH,Vicky Ostwal,run out (Mridul Surroch),0,3,0,0,0.0,HPvsMAH,False,run out,8
19,MAH,Satyajeet Bachhav,c and b Rohit Kumar,27,18,2,1,150.0,HPvsMAH,False,caught,9
20,MAH,Rajvardhan Hangargekar,not out,6,5,0,0,120.0,HPvsMAH,False,not out,10
21,MAH,Pradeep Dadhe,abs hurt,0,0,0,0,0.0,HPvsMAH,False,absent hurt,11
0,HP,Innesh Mahajan (wk),run out (Ramandeep Singh),13,23,1,0,56.52,HPvsPUN,False,run out,1
1,HP,Ankit Kalsi,c Naman Dhir b Sukhdeep Bajwa,0,7,0,0,0.0,HPvsPUN,False,caught,2
2,HP,Kushal Pal,c Anmolpreet Singh b Sukhdeep Bajwa,0,3,0,0,0.0,HPvsPUN,False,caught,3
3,HP,Pukhraj Mann,c and b Naman Dhir,76,87,6,2,87.36,HPvsPUN,False,caught,4
4,HP,Nitin Sharma,lbw b Sumit Sharma,0,1,0,0,0.0,HPvsPUN,False,lbw,5
5,HP,Mridul Surroch (c),run out (Uday Saharan),58,74,4,1,78.38,HPvsPUN,False,run out,6
6,HP,Amanpreet Singh,b Naman Dhir,0,1,0,0,0.0,HPvsPUN,False,bowled,7
7,HP,Akash Vasisht,lbw b Sukhdeep Bajwa,31,44,0,1,70.45,HPvsPUN,False,lbw,8
8,HP,Vaibhav Arora,c Prabhsimran b Gaurav Chaudhary,8,18,0,0,44.44,HPvsPUN,False,caught,9
9,HP,Rohit Kumar,c Krish Bhagat b Sukhdeep Bajwa,10,22,0,0,45.45,HPvsPUN,False,caught,10
10,HP,Aryaman Singh Dhaliwal,not out,2,4,0,0,50.0,HPvsPUN,False,not out,11
11,PUN,Harnoor Singh,c Akash Vasisht b Rohit Kumar,0,1,0,0,0.0,HPvsPUN,False,caught,1
12,PUN,Prabhsimran Singh (c & wk),b Vaibhav Arora,84,84,11,0,100.0,HPvsPUN,False,bowled,2
13,PUN,Uday Saharan,b Rohit Kumar,0,4,0,0,0.0,HPvsPUN,False,bowled,3
14,PUN,Anmolpreet Singh,b Akash Vasisht,72,83,6,0,86.75,HPvsPUN,False,bowled,4
15,PUN,Naman Dhir,not out,50,44,0,5,113.64,HPvsPUN,False,not out,5
16,PUN,Ramandeep Singh,not out,5,2,1,0,250.0,HPvsPUN,False,not out,6
0,HP,Innesh Mahajan (wk),lbw b Shashwat Dangwal,60,75,4,1,80.0,HPvsUTK,False,lbw,1
1,HP,Ankit Kalsi,run out (Aarav Mahajan),17,22,3,0,77.27,HPvsUTK,False,run out,2
2,HP,Ekant Sen,c Shashwat Dangwal b Devendra Singh Bora,15,14,2,1,107.14,HPvsUTK,False,caught,3
3,HP,Pukhraj Mann,b Devendra Singh Bora,48,50,5,0,96.0,HPvsUTK,False,bowled,4
4,HP,Akash Vasisht,c Mayank Mishra b Jagmohan Nagarkoti,17,16,1,1,106.25,HPvsUTK,False,caught,5
5,HP,Amanpreet Singh,b Mayank Mishra,38,45,2,1,84.44,HPvsUTK,False,bowled,6
6,HP,Mridul Surroch (c),c Avneesh Sudha b Devendra Singh Bora,21,29,3,0,72.41,HPvsUTK,False,caught,7
7,HP,Nitin Sharma,c and b J Suchith,6,9,0,0,66.67,HPvsUTK,False,caught,8
8,HP,Mayank Dagar,c Aarav Mahajan b J Suchith,5,11,0,0,45.45,HPvsUTK,False,caught,9
9,HP,Vaibhav Arora,c (sub)Yuvraj Chaudhary b Devendra Singh Bora,13,12,1,1,108.33,HPvsUTK,False,caught,10
10,HP,Rohit Kumar,not out,0,3,0,0,0.0,HPvsUTK,False,not out,11
11,UTK,Aarav Mahajan,c Ankit Kalsi b Vaibhav Arora,3,10,0,0,30.0,HPvsUTK,False,caught,1
12,UTK,Sanskar Rawat (wk),c Innesh Mahajan b Rohit Kumar,13,19,2,0,68.42,HPvsUTK,False,caught,2
13,UTK,Kunal Chandela (c),lbw b Akash Vasisht,16,25,2,0,64.0,HPvsUTK,False,lbw,3
14,UTK,Aanjaneya Suryavanshi,c Amanpreet Singh b Mayank Dagar,55,71,2,3,77.46,HPvsUTK,False,caught,4
15,UTK,Avneesh Sudha,b Akash Vasisht,1,11,0,0,9.09,HPvsUTK,False,bowled,5
16,UTK,Jagadeesha Suchith,c Vaibhav Arora b Akash Vasisht,51,73,4,0,69.86,HPvsUTK,False,caught,6
17,UTK,Shashwat Dangwal,c Pukhraj Mann b Amanpreet Singh,17,16,3,0,106.25,HPvsUTK,False,caught,7
18,UTK,Mayank Mishra,c Innesh Mahajan b Amanpreet Singh,1,5,0,0,20.0,HPvsUTK,False,caught,8
19,UTK,Jagmohan Nagarkoti,b Mridul Surroch,0,4,0,0,0.0,HPvsUTK,False,bowled,9
20,UTK,Devendra Singh Bora,not out,0,9,0,0,0.0,HPvsUTK,False,not out,10
21,UTK,Akash Madhwal,abs hurt,0,0,0,0,0.0,HPvsUTK,False,absent hurt,11
0,HYD,Tanmay Agarwal,lbw b Purkayastha,14,27,1,1,51.85,HYDvsASM,False,lbw,1
1,HYD,G Rahul Singh,st Sumit Ghadigaonkar b Purkayastha,79,71,14,0,111.27,HYDvsASM,False,stumped,2
2,HYD,Abhirath Reddy,c Nihar Deka b Sibsankar Roy,54,66,6,0,81.82,HYDvsASM,False,caught,3
3,HYD,Pragnay Reddy (wk),c Saurav Dihingia b Sibsankar Roy,5,16,0,0,31.25,HYDvsASM,False,caught,4
4,HYD,Aelgani Varun Goud,c Nihar Deka b Ayushman Malakar,42,46,2,1,91.3,HYDvsASM,False,caught,5
5,HYD,Rahul Buddhi,c Avinov Choudhury b Abdul Ajij Kuraishi,35,41,1,1,85.37,HYDvsASM,False,caught,6
6,HYD,K Nitesh Reddy,c Denish Das b Abdul Ajij Kuraishi,53,25,4,3,212.0,HYDvsASM,False,caught,7
7,HYD,Milind (c),c Saurav Dihingia b Abdul Ajij Kuraishi,13,9,0,1,144.44,HYDvsASM,False,caught,8
8,HYD,Aniketh Reddy,not out,1,1,0,0,100.0,HYDvsASM,False,not out,9
9,ASM,Pradyun Saikia,run out (Rahul Buddhi),14,6,3,0,233.33,HYDvsASM,False,run out,1
10,ASM,Saurav Dihingia,run out (B Punnaiah),91,112,9,1,81.25,HYDvsASM,False,run out,2
11,ASM,Sumit Ghadigaonkar (c & wk),c (sub)Aman Rao Perala b Milind,7,10,1,0,70.0,HYDvsASM,False,caught,3
12,ASM,Sibsankar Roy,c Abhirath Reddy b Milind,112,109,11,1,102.75,HYDvsASM,False,caught,4
13,ASM,Denish Das,c Nitin Sai Yadav b Aelgani Varun Goud,54,46,7,0,117.39,HYDvsASM,False,caught,5
14,ASM,Nihar Deka,c Nitin Sai Yadav b Milind,12,8,2,0,150.0,HYDvsASM,False,caught,6
15,ASM,Abdul Ajij Kuraishi,not out,10,5,2,0,200.0,HYDvsASM,False,not out,7
16,ASM,Swarupam Purkayastha,not out,4,2,1,0,200.0,HYDvsASM,False,not out,8
0,HYD,Aman Rao Perala,not out,200,154,12,13,129.87,HYDvsBEN,False,not out,1
1,HYD,G Rahul Singh,c Mukesh Kumar b Rohit Das,65,54,7,3,120.37,HYDvsBEN,False,caught,2
2,HYD,Tilak Varma (c),c Sumanta Gupta b Shahbaz Ahmed,34,45,3,0,75.56,HYDvsBEN,False,caught,3
3,HYD,Abhirath Reddy,c Sumit Nag b Shami,5,9,0,0,55.56,HYDvsBEN,False,caught,4
4,HYD,Pragnay Reddy (wk),c Sumit Nag b Shami,22,25,0,1,88.0,HYDvsBEN,False,caught,5
5,HYD,Pranav Varma,c Akash Deep b Shami,7,7,0,0,100.0,HYDvsBEN,False,caught,6
6,HYD,Milind,not out,6,6,0,0,100.0,HYDvsBEN,False,not out,7
7,BEN,Sumit Nag (wk),lbw b Siraj,10,14,1,0,71.43,HYDvsBEN,False,lbw,1
8,BEN,Abhimanyu Easwaran (c),c Chinntla Rakshan Readdi b Siraj,15,8,3,0,187.5,HYDvsBEN,False,caught,2
9,BEN,Karan Lal,c Pragnay Reddy b Milind,13,17,1,1,76.47,HYDvsBEN,False,caught,3
10,BEN,Sudip Kumar Gharami,b Siraj,0,1,0,0,0.0,HYDvsBEN,False,bowled,4
11,BEN,Anustup Majumdar,c G Rahul Singh b Chinntla Rakshan Readdi,59,72,4,1,81.94,HYDvsBEN,False,caught,5
12,BEN,Shahbaz Ahmed,not out,108,113,9,4,95.58,HYDvsBEN,False,not out,6
13,BEN,Sumanta Gupta,c Pragnay Reddy b Pranav Varma,2,4,0,0,50.0,HYDvsBEN,False,caught,7
14,BEN,Akash Deep,c (sub)Aelgani Varun Goud b Nitin Sai Yadav,12,16,0,0,75.0,HYDvsBEN,False,caught,8
15,BEN,Mohammed Shami,c (sub)Aelgani Varun Goud b K Nitesh Reddy,7,11,1,0,63.64,HYDvsBEN,False,caught,9
16,BEN,Rohit Das,lbw b Siraj,1,2,0,0,50.0,HYDvsBEN,False,lbw,10
17,BEN,Mukesh Kumar,c and b K Nitesh Reddy,6,11,1,0,54.55,HYDvsBEN,False,caught,11
0,HYD,Aman Rao Perala,b Rohit Dhanda,13,16,3,0,81.25,HYDvsCDG,False,bowled,1
1,HYD,Tanmay Agarwal,c Vohra b Hartejassvi Kapoor,16,26,3,0,61.54,HYDvsCDG,False,caught,2
2,HYD,Tilak Varma (c),c Tushar Joshi b Jagjit Singh,109,118,6,3,92.37,HYDvsCDG,False,caught,3
3,HYD,Abhirath Reddy,c Harjit Singh b Vishu Kashyap,71,64,5,2,110.94,HYDvsCDG,False,caught,4
4,HYD,Aelgani Varun Goud,c Tushar Joshi b Vishu Kashyap,13,21,0,0,61.9,HYDvsCDG,False,caught,5
5,HYD,Pragnay Reddy (wk),c Sanyam Saini b Rohit Dhanda,9,13,0,0,69.23,HYDvsCDG,False,caught,6
6,HYD,K Nitesh Reddy,lbw b Jagjit Singh,13,20,0,0,65.0,HYDvsCDG,False,lbw,7
7,HYD,Milind,c Harjit Singh b Jagjit Singh,7,5,1,0,140.0,HYDvsCDG,False,caught,8
8,HYD,Siraj,c Vishu Kashyap b Hartejassvi Kapoor,16,11,3,0,145.45,HYDvsCDG,False,caught,9
9,HYD,Aniketh Reddy,not out,8,4,1,0,200.0,HYDvsCDG,False,not out,10
10,HYD,Chinntla Rakshan Readdi,not out,5,2,1,0,250.0,HYDvsCDG,False,not out,11
11,CDG,Arslan Khan,c Pragnay Reddy b Milind,1,4,0,0,25.0,HYDvsCDG,False,caught,1
12,CDG,Manan Vohra (c),c Abhirath Reddy b Aniketh Reddy,24,38,4,0,63.16,HYDvsCDG,False,caught,2
13,CDG,Tushar Joshi (wk),c Pragnay Reddy b Milind,7,27,1,0,25.93,HYDvsCDG,False,caught,3
14,CDG,Taranpreet Singh,lbw b Siraj,7,9,1,0,77.78,HYDvsCDG,False,lbw,4
15,CDG,Harjit Singh,c Milind b K Nitesh Reddy,18,36,2,0,50.0,HYDvsCDG,False,caught,5
16,CDG,Sanyam Saini,c Aelgani Varun Goud b K Nitesh Reddy,46,32,5,1,143.75,HYDvsCDG,False,caught,6
17,CDG,Hardik Chowdhry,lbw b Chinntla Rakshan Readdi,8,20,0,0,40.0,HYDvsCDG,False,lbw,7
18,CDG,Vishu Kashyap,not out,27,34,2,2,79.41,HYDvsCDG,False,not out,8
19,CDG,Jagjit Singh,c Pragnay Reddy b Chinntla Rakshan Readdi,0,2,0,0,0.0,HYDvsCDG,False,caught,9
20,CDG,Rohit Dhanda,c Pragnay Reddy b Chinntla Rakshan Readdi,0,1,0,0,0.0,HYDvsCDG,False,caught,10
21,CDG,Hartejassvi Kapoor,b Aelgani Varun Goud,4,23,0,0,17.39,HYDvsCDG,False,bowled,11
0,HYD,Aman Rao Perala,c (sub)Nasir Lone b Abid Mushtaq,60,77,4,3,77.92,HYDvsJK,False,caught,1
1,HYD,Gahlaut Rahul Singh,b Yudhvir Singh,56,36,8,2,155.56,HYDvsJK,False,bowled,2
2,HYD,Abhirath Reddy,st Dikshant Kundal b Abid Mushtaq,19,29,1,0,65.52,HYDvsJK,False,stumped,3
3,HYD,Pragnay Reddy (wk),b Sahil Lotra,16,33,0,0,48.48,HYDvsJK,False,bowled,4
4,HYD,Aelgani Varun Goud,c and b Vanshaj Sharma,12,15,0,0,80.0,HYDvsJK,False,caught,5
5,HYD,K Nitesh Reddy,not out,54,61,6,0,88.52,HYDvsJK,False,not out,6
6,HYD,Chama V Milind (c),run out (Shubham Khajuria),6,16,0,0,37.5,HYDvsJK,False,run out,7
7,HYD,Pranav Varma,c and b Auqib Nabi,14,17,0,1,82.35,HYDvsJK,False,caught,8
8,HYD,Mohammed Siraj,c Sahil Lotra b Auqib Nabi,6,7,0,0,85.71,HYDvsJK,False,caught,9
9,HYD,Nitin Sai Yadav,c (sub)P Dogra b Auqib Nabi,6,8,0,0,75.0,HYDvsJK,False,caught,10
10,HYD,Chinntla Rakshan Readdi,not out,1,2,0,0,50.0,HYDvsJK,False,not out,11
11,JK,Dikshant Kundal (wk),c Chinntla Rakshan Readdi b Siraj,4,11,0,0,36.36,HYDvsJK,False,caught,1
12,JK,Shubham Khajuria (c),lbw b Siraj,22,24,4,0,91.67,HYDvsJK,False,lbw,2
13,JK,Yawer Hassan,c Pragnay Reddy b Milind,20,28,4,0,71.43,HYDvsJK,False,caught,3
14,JK,Kawalpreet Singh,c Pragnay Reddy b Milind,10,20,1,0,50.0,HYDvsJK,False,caught,4
15,JK,Vivrant Sharma,c Siraj b Nitin Sai Yadav,13,19,2,0,68.42,HYDvsJK,False,caught,5
16,JK,Sahil Lotra,run out (Aelgani Varun Goud),4,16,0,0,25.0,HYDvsJK,False,run out,6
17,JK,Abid Mushtaq,c Pragnay Reddy b Chinntla Rakshan Readdi,4,11,0,0,36.36,HYDvsJK,False,caught,7
18,JK,Auqib Nabi Dar,not out,114,82,10,7,139.02,HYDvsJK,False,not out,8
19,JK,Vanshaj Sharma,not out,69,78,7,3,88.46,HYDvsJK,False,not out,9
0,JHKD,Shikhar Mohan,b Abhilash Shetty,44,79,7,0,55.7,JHKDvsKAR,False,bowled,1
1,JHKD,Utkarsh Singh,c Abhinav Manohar b Vidyadhar Patil,8,8,1,0,100.0,JHKDvsKAR,False,caught,2
2,JHKD,Shubh Sharma,b Shreyas Gopal,15,37,2,0,40.54,JHKDvsKAR,False,bowled,3
3,JHKD,Virat Singh,c Abhilash Shetty b Vidyadhar Patil,88,68,8,4,129.41,JHKDvsKAR,False,caught,4
4,JHKD,Kushagra,c Karun Nair b Shreyas Gopal,63,47,3,5,134.04,JHKDvsKAR,False,caught,5
5,JHKD,Ishan Kishan (c & wk),c Mayank Agarwal b Dhruv Prabhakar,125,39,7,14,320.51,JHKDvsKAR,False,caught,6
6,JHKD,Anukul Roy,c Abhinav Manohar b Abhilash Shetty,13,12,0,1,108.33,JHKDvsKAR,False,caught,7
7,JHKD,Robin Minz,b Abhilash Shetty,8,7,0,0,114.29,JHKDvsKAR,False,bowled,8
8,JHKD,Vikash Singh,c Padikkal b Abhilash Shetty,0,1,0,0,0.0,JHKDvsKAR,False,caught,9
9,JHKD,Sushant Mishra,not out,1,1,0,0,100.0,JHKDvsKAR,False,not out,10
10,JHKD,Saurabh Shekhar,not out,0,2,0,0,0.0,JHKDvsKAR,False,not out,11
11,KAR,Mayank Agarwal (c),c Shikhar Mohan b Saurabh Shekhar,54,34,10,0,158.82,JHKDvsKAR,False,caught,1
12,KAR,Devdutt Padikkal,c Utkarsh Singh b Saurabh Shekhar,147,118,10,7,124.58,JHKDvsKAR,False,caught,2
13,KAR,Karun Nair,c (sub)Rajandeep Singh b Utkarsh Singh,29,27,4,0,107.41,JHKDvsKAR,False,caught,3
14,KAR,Smaran Ravichandran,c Shubh Sharma b Utkarsh Singh,27,21,1,1,128.57,JHKDvsKAR,False,caught,4
15,KAR,Krishnan Shrijith (wk),b Sushant Mishra,38,32,5,0,118.75,JHKDvsKAR,False,bowled,5
16,KAR,Abhinav Manohar,not out,56,32,8,1,175.0,JHKDvsKAR,False,not out,6
17,KAR,Dhruv Prabhakar,not out,40,22,6,1,181.82,JHKDvsKAR,False,not out,7
0,JHKD,Shikhar Mohan,c Vishnu Vinod b Eden Apple,13,16,3,0,81.25,JHKDvsKER,False,caught,1
1,JHKD,Utkarsh Singh,c Muhammed Sharafuddeen b Nidheesh,6,14,1,0,42.86,JHKDvsKER,False,caught,2
2,JHKD,Virat Singh,c Vignesh Puthur b Aparajith,15,31,2,0,48.39,JHKDvsKER,False,caught,3
3,JHKD,Kushagra,not out,143,137,8,7,104.38,JHKDvsKER,False,not out,4
4,JHKD,Ishan Kishan (c & wk),c and b Aparajith,21,21,1,1,100.0,JHKDvsKER,False,caught,5
5,JHKD,Anukul Roy,b Nidheesh,72,72,4,3,100.0,JHKDvsKER,False,bowled,6
6,JHKD,Md Kounain Quraishi,c Vignesh Puthur b Nidheesh,0,4,0,0,0.0,JHKDvsKER,False,caught,7
7,JHKD,Rajandeep Singh,c Vignesh Puthur b Nidheesh,9,5,0,1,180.0,JHKDvsKER,False,caught,8
8,KER,Sanju Samson (wk),lbw b Shubham Singh,101,95,9,3,106.32,JHKDvsKER,False,lbw,1
9,KER,Rohan Kunnummal (c),c (sub)Shubh Sharma b Vikash Singh,124,78,8,11,158.97,JHKDvsKER,False,caught,2
10,KER,Baba Aparajith,not out,41,49,1,0,83.67,JHKDvsKER,False,not out,3
11,KER,Vishnu Vinod,not out,40,33,3,2,121.21,JHKDvsKER,False,not out,4
0,JHKD,Shikhar Mohan,c Bhanu Anand b Parth Vaghani,12,17,3,0,70.59,JHKDvsPDC,False,caught,1
1,JHKD,Utkarsh Singh,c Parth Vaghani b Aman Khan,74,70,7,2,105.71,JHKDvsPDC,False,caught,2
2,JHKD,Virat Singh,c Bhanu Anand b Parth Vaghani,0,1,0,0,0.0,JHKDvsPDC,False,caught,3
3,JHKD,Kushagra (c & wk),c R Jashwanth Shreeram b Jayant Yadav,105,104,10,2,100.96,JHKDvsPDC,False,caught,4
4,JHKD,Robin Minz,c Sagar Udeshi b Vishal Khokhar,9,11,1,0,81.82,JHKDvsPDC,False,caught,5
5,JHKD,Anukul Roy,not out,98,53,7,8,184.91,JHKDvsPDC,False,not out,6
6,JHKD,Rajandeep Singh,c Sagar Udeshi b Sagar Udeshi,8,8,1,0,100.0,JHKDvsPDC,False,caught,7
7,JHKD,Md Kounain Quraishi,c Aman Khan b Parth Vaghani,43,35,7,0,122.86,JHKDvsPDC,False,caught,8
8,JHKD,Manishi,not out,1,1,0,0,100.0,JHKDvsPDC,False,not out,9
9,PDC,Bhanu Anand (wk),c Anukul Roy b Sushant Mishra,2,12,0,0,16.67,JHKDvsPDC,False,caught,1
10,PDC,Neyan Shyam Kangayan,c Kushagra b Rajandeep Singh,47,41,8,1,114.63,JHKDvsPDC,False,caught,2
11,PDC,Jashwanth Shreeram,run out (Anukul Roy),60,74,4,1,81.08,JHKDvsPDC,False,run out,3
12,PDC,Akash Pugazhanthi,c Md Kounain Quraishi b Rajandeep Singh,5,4,1,0,125.0,JHKDvsPDC,False,caught,4
13,PDC,Mohit Kale,c Robin Minz b Manishi,34,40,5,0,85.0,JHKDvsPDC,False,caught,5
14,PDC,Aman Khan (c),run out (Anukul Roy),28,24,3,1,116.67,JHKDvsPDC,False,run out,6
15,PDC,Krishna Pandey,c Kushagra b Sushant Mishra,11,10,0,1,110.0,JHKDvsPDC,False,caught,7
16,PDC,Jayant Yadav,c Shubham Singh b Anukul Roy,25,21,3,1,119.05,JHKDvsPDC,False,caught,8
17,PDC,Sagar Udeshi,c Manishi b Rajandeep Singh,10,16,1,0,62.5,JHKDvsPDC,False,caught,9
18,PDC,Parth Vaghani,not out,4,5,1,0,80.0,JHKDvsPDC,False,not out,10
19,PDC,Vishal Khokhar,c Shikhar Mohan b Anukul Roy,0,3,0,0,0.0,JHKDvsPDC,False,caught,11
0,JHKD,Shikhar Mohan,b Khaleel Ahmed,129,118,17,3,109.32,JHKDvsRAJ,False,bowled,1
1,JHKD,Utkarsh Singh,b Khaleel Ahmed,4,4,1,0,100.0,JHKDvsRAJ,False,bowled,2
2,JHKD,Virat Singh,c Manender Singh b Aniket Choudhary,11,22,2,0,50.0,JHKDvsRAJ,False,caught,3
3,JHKD,Kushagra (c & wk),c and b Kukna Ajay Singh,21,42,1,0,50.0,JHKDvsRAJ,False,caught,4
4,JHKD,Robin Minz,c Aniket Choudhary b Ashok Sharma,21,25,2,1,84.0,JHKDvsRAJ,False,caught,5
5,JHKD,Anukul Roy,c Manav Suthar b Khaleel Ahmed,52,43,5,1,120.93,JHKDvsRAJ,False,caught,6
6,JHKD,Rajandeep Singh,c Lomror b Khaleel Ahmed,6,9,0,0,66.67,JHKDvsRAJ,False,caught,7
7,JHKD,Shubh Sharma,c Aniket Choudhary b Ashok Sharma,12,17,1,0,70.59,JHKDvsRAJ,False,caught,8
8,JHKD,Manishi,run out (Ashok Sharma/Manender Singh),26,14,2,1,185.71,JHKDvsRAJ,False,run out,9
9,JHKD,Sushant Mishra,run out (Aniket Choudhary/Manender Singh),3,4,0,0,75.0,JHKDvsRAJ,False,run out,10
10,JHKD,Shubham Singh,not out,1,2,0,0,50.0,JHKDvsRAJ,False,not out,11
11,RAJ,Manender Narender Singh (wk),b Shubham Singh,3,4,0,0,75.0,JHKDvsRAJ,False,bowled,1
12,RAJ,Sumit Godara,c Kushagra b Shubham Singh,6,14,1,0,42.86,JHKDvsRAJ,False,caught,2
13,RAJ,Mahipal Lomror,c Kushagra b Sushant Mishra,7,21,1,0,33.33,JHKDvsRAJ,False,caught,3
14,RAJ,Deepak Hooda,lbw b Shubham Singh,0,1,0,0,0.0,JHKDvsRAJ,False,lbw,4
15,RAJ,Karan Lamba,c and b Shubham Singh,102,110,7,1,92.73,JHKDvsRAJ,False,caught,5
16,RAJ,Mukul Choudhary,st Kushagra b Manishi,33,62,1,1,53.23,JHKDvsRAJ,False,stumped,6
17,RAJ,Kukna Ajay Singh,b Utkarsh Singh,15,24,0,0,62.5,JHKDvsRAJ,False,bowled,7
18,RAJ,Manav Suthar (c),c Robin Minz b Sushant Mishra,27,42,0,2,64.29,JHKDvsRAJ,False,caught,8
19,RAJ,Ashok Sharma,c Anukul Roy b Shubham Singh,24,17,1,2,141.18,JHKDvsRAJ,False,caught,9
