Unnamed: 0,Team,Batter,Dismissal,Runs,Balls,4s,6s,SR,match_id,is_plate,dismissal_type,batting_position
10,KER,Krishna Prasad,c and b Ashok Sharma,53,61,3,2,86.89,RAJvsKER,False,caught,2
11,KER,Baba Aparajith,c Lomror b Aniket Choudhary,126,116,12,4,108.62,RAJvsKER,False,caught,3
12,KER,Vishnu Vinod,c and b Aniket Choudhary,28,22,2,2,127.27,RAJvsKER,False,caught,4
13,KER,Mohammed Azharuddeen (wk),st Samarpit Joshi b Manav Suthar,28,20,1,2,140.0,RAJvsKER,False,stumped,5
14,KER,Muhammed Sharafuddeen,lbw b Manav Suthar,11,20,0,1,55.0,RAJvsKER,False,lbw,6
15,KER,Salman Nizar,c (sub)Mukul Choudhary b Aniket Choudhary,18,19,1,1,94.74,RAJvsKER,False,caught,7
16,KER,Ankit Sharma,run out (Samarpit Joshi),27,22,2,2,122.73,RAJvsKER,False,run out,8
17,KER,Eden Apple Tom,not out,40,18,1,5,222.22,RAJvsKER,False,not out,9
18,KER,MD Nidheesh,not out,2,2,0,0,100.0,RAJvsKER,False,not out,10
0,RAJ,Rahul Khandelwal,c Kannan Vignesh b Sagar Udeshi,6,10,1,0,60.0,RAJvsPDC,False,caught,1
1,RAJ,Ramnivas Golada,c Ajay Rohera b Sagar Udeshi,64,63,12,0,101.59,RAJvsPDC,False,caught,2
2,RAJ,Ajayraj Singh,b Nitin Pranaav,0,6,0,0,0.0,RAJvsPDC,False,bowled,3
3,RAJ,Deepak Hooda,c Premraj Rajavelu b Sagar Udeshi,6,8,1,0,75.0,RAJvsPDC,False,caught,4
4,RAJ,Karan Lamba,c Aditya Garhwal b Aman Khan,108,116,11,1,93.1,RAJvsPDC,False,caught,5
5,RAJ,Mukul Choudhary (wk),b Kannan Vignesh,16,24,1,0,66.67,RAJvsPDC,False,bowled,6
6,RAJ,Manav Suthar (c),st Ajay Rohera b Jayant Yadav,18,43,2,0,41.86,RAJvsPDC,False,stumped,7
7,RAJ,Kukna Ajay Singh,c R Jashwanth Shreeram b Nitin Pranaav,31,23,3,1,134.78,RAJvsPDC,False,caught,8
8,RAJ,Ashok Sharma,not out,12,5,1,1,240.0,RAJvsPDC,False,not out,9
9,RAJ,Khaleel Ahmed,not out,1,2,0,0,50.0,RAJvsPDC,False,not out,10
10,PDC,Neyan Shyam Kangayan,b Khaleel Ahmed,4,5,1,0,80.0,RAJvsPDC,False,bowled,1
11,PDC,Ajay Rohera (wk),lbw b Manav Suthar,19,27,3,0,70.37,RAJvsPDC,False,lbw,2
12,PDC,Jashwanth Shreeram,b D Bhambhu,8,12,2,0,66.67,RAJvsPDC,False,bowled,3
13,PDC,Aditya Garhwal,lbw b D Bhambhu,0,1,0,0,0.0,RAJvsPDC,False,lbw,4
14,PDC,Ragavan Ramamoorthy,c Karan Lamba b Khaleel Ahmed,4,5,1,0,80.0,RAJvsPDC,False,caught,5
15,PDC,Aman Khan (c),c Mukul Choudhary b D Bhambhu,18,13,4,0,138.46,RAJvsPDC,False,caught,6
16,PDC,Jayant Yadav,c Karan Lamba b Ashok Sharma,2,10,0,0,20.0,RAJvsPDC,False,caught,7
17,PDC,Premraj Rajavelu,c Deepak Hooda b Ashok Sharma,9,9,2,0,100.0,RAJvsPDC,False,caught,8
18,PDC,Nitin Pranaav,lbw b Manav Suthar,56,51,8,2,109.8,RAJvsPDC,False,lbw,9
19,PDC,Kannan Vignesh,retd hurt,12,14,0,2,85.71,RAJvsPDC,False,retired hurt,10
20,PDC,Sagar Udeshi,b Kukna Ajay Singh,1,7,0,0,14.29,RAJvsPDC,False,bowled,11
21,PDC,Thivagar Gopal,not out,0,8,0,0,0.0,RAJvsPDC,False,not out,12
0,RAJ,Aditya Rathore,lbw b Sonu Yadav,34,33,6,1,103.03,RAJvsTN,False,lbw,1
1,RAJ,Ramnivas Golada,c Gurjapneet Singh b Varun Chakaravarthy,28,16,2,2,175.0,RAJvsTN,False,caught,2
2,RAJ,Karan Lamba,c N Jagadeesan b Sonu Yadav,2,6,0,0,33.33,RAJvsTN,False,caught,3
3,RAJ,Deepak Hooda,c Mohamed Ali b Sai Kishore,70,69,8,2,101.45,RAJvsTN,False,caught,4
4,RAJ,Samarpit Joshi (wk),c Indrajith b Varun Chakaravarthy,1,6,0,0,16.67,RAJvsTN,False,caught,5
5,RAJ,Manav Suthar (c),lbw b Washington Sundar,43,93,3,2,46.24,RAJvsTN,False,lbw,6
6,RAJ,Mukul Choudhary,lbw b Varun Chakaravarthy,9,17,0,0,52.94,RAJvsTN,False,lbw,7
7,RAJ,Kukna Ajay Singh,b Gurjapneet Singh,5,12,0,0,41.67,RAJvsTN,False,bowled,8
8,RAJ,Ashok Sharma,b Varun Chakaravarthy,1,6,0,0,16.67,RAJvsTN,False,bowled,9
9,RAJ,Akash Singh,not out,19,20,3,0,95.0,RAJvsTN,False,not out,10
10,RAJ,Khaleel Ahmed,b Gurjapneet Singh,4,3,1,0,133.33,RAJvsTN,False,bowled,11
11,TN,Athish SR,b Manav Suthar,54,50,4,3,108.0,RAJvsTN,False,bowled,1
